Frecuencia (Hz)	Nivel (dB)
43,066406	-61,164665
86,132812	-31,960550
129,199219	-27,189215
172,265625	-34,483566
215,332031	-32,251320
258,398438	-28,685797
301,464844	-37,374413
344,531250	-61,283298
387,597656	-62,456886
430,664062	-47,501995
473,730469	-31,047218
516,796875	-29,773659
559,863281	-41,605824
602,929688	-60,406628
645,996094	-70,390152
689,062500	-77,351250
732,128906	-82,151154
775,195312	-83,316238
818,261719	-79,489716
861,328125	-72,350082
904,394531	-61,574844
947,460938	-38,215221
990,527344	-29,151936
1033,593750	-32,426704
1076,660156	-54,370171
1119,726562	-68,052200
1162,792969	-76,601006
1205,859375	-82,929848
1248,925781	-87,964226
1291,992188	-92,154411
1335,058594	-95,723724
1378,125000	-98,713943
1421,191406	-101,593086
1464,257812	-104,069336
1507,324219	-106,029884
1550,390625	-108,337196
1593,457031	-109,865097
1636,523438	-110,781212
1679,589844	-113,398323
1722,656250	-114,680382
1765,722656	-115,602219
1808,789062	-117,434906
1851,855469	-116,095406
1894,921875	-116,312424
1937,988281	-120,165352
1981,054688	-119,278877
2024,121094	-119,848679
2067,187500	-122,207718
2110,253906	-118,915741
2153,320312	-120,308090
2196,386719	-123,276588
2239,453125	-119,597054
2282,519531	-121,685349
2325,585938	-123,783745
2368,652344	-120,369324
2411,718750	-122,765739
2454,785156	-124,487183
2497,851562	-120,492706
2540,917969	-123,896484
2583,984375	-123,533241
2627,050781	-120,564995
2670,117188	-124,361496
2713,183594	-124,251213
2756,250000	-122,011902
2799,316406	-125,288940
2842,382812	-122,743980
2885,449219	-120,943161
2928,515625	-125,176697
2971,582031	-121,432770
3014,648438	-120,141151
3057,714844	-125,659866
3100,781250	-122,906990
3143,847656	-122,374557
3186,914062	-126,367477
3229,980469	-122,655899
3273,046875	-122,889511
3316,113281	-126,010605
3359,179688	-120,670013
3402,246094	-121,783951
3445,312500	-126,103958
3488,378906	-122,504089
3531,445312	-123,801575
3574,511719	-125,587624
3617,578125	-121,486679
3660,644531	-123,694077
3703,710938	-125,152565
3746,777344	-121,845345
3789,843750	-124,599533
3832,910156	-124,860306
3875,976562	-121,565826
3919,042969	-125,047897
3962,109375	-124,597298
4005,175781	-122,447975
4048,242188	-125,578247
4091,308594	-123,924133
4134,375000	-121,785431
4177,441406	-125,619728
4220,507812	-124,105980
4263,574219	-122,828903
4306,640625	-126,331985
4349,707031	-124,054688
4392,773438	-123,491142
4435,839844	-126,509338
4478,906250	-123,527100
4521,972656	-123,668159
4565,039062	-126,271339
4608,105469	-123,499329
4651,171875	-124,047073
4694,238281	-126,669113
4737,304688	-124,372452
4780,371094	-125,225121
4823,437500	-126,494270
4866,503906	-123,550728
4909,570312	-124,605965
4952,636719	-125,986435
4995,703125	-124,090523
5038,769531	-125,466194
5081,835938	-125,834991
5124,902344	-123,845802
5167,968750	-125,769257
5211,035156	-125,936783
5254,101562	-124,484192
5297,167969	-126,217422
5340,234375	-125,120621
5383,300781	-123,584686
5426,367188	-125,928658
5469,433594	-125,404617
5512,500000	-125,056198
5555,566406	-126,598854
5598,632812	-124,538490
5641,699219	-124,029961
5684,765625	-126,186684
5727,832031	-124,047455
5770,898438	-124,054108
5813,964844	-126,005310
5857,031250	-123,995972
5900,097656	-124,740715
5943,164062	-126,788925
5986,230469	-124,549347
6029,296875	-125,445244
6072,363281	-126,415794
6115,429688	-123,389656
6158,496094	-125,164139
6201,562500	-126,454041
6244,628906	-124,473526
6287,695312	-125,903984
6330,761719	-126,379189
6373,828125	-124,422081
6416,894531	-126,104546
6459,960938	-125,742043
6503,027344	-124,487755
6546,093750	-126,263412
6589,160156	-125,720161
6632,226562	-124,448631
6675,292969	-126,325912
6718,359375	-125,685097
6761,425781	-124,750549
6804,492188	-126,585655
6847,558594	-125,368324
6890,625000	-124,992882
6933,691406	-126,509445
6976,757812	-125,173492
7019,824219	-125,076546
7062,890625	-126,805672
7105,957031	-125,545341
7149,023438	-125,639694
7192,089844	-126,691841
7235,156250	-124,796288
7278,222656	-125,335938
7321,289062	-126,825172
7364,355469	-125,448700
7407,421875	-126,502769
7450,488281	-126,787636
7493,554688	-125,466217
7536,621094	-125,992348
7579,687500	-126,678757
7622,753906	-124,825531
7665,820312	-126,376328
7708,886719	-126,308044
7751,953125	-125,043068
7795,019531	-126,382553
7838,085938	-126,327866
7881,152344	-125,413635
7924,218750	-126,753120
7967,285156	-126,197403
8010,351562	-125,779190
8053,417969	-126,573364
8096,484375	-125,523666
8139,550781	-125,111725
8182,617188	-126,985756
8225,683594	-125,892311
8268,750000	-126,063972
8311,816406	-127,236389
8354,882812	-125,833542
8397,949219	-125,875870
8441,015625	-126,912140
8484,082031	-125,516090
8527,148438	-125,686806
8570,214844	-126,773346
8613,281250	-125,025749
8656,347656	-125,619881
8699,414062	-126,640038
8742,480469	-125,606026
8785,546875	-126,291451
8828,613281	-126,998985
8871,679688	-125,512100
8914,746094	-126,428955
8957,812500	-126,606018
9000,878906	-125,033028
9043,945312	-126,220352
9087,011719	-126,352425
9130,078125	-125,855835
9173,144531	-127,078300
9216,210938	-125,843330
9259,277344	-125,106491
9302,343750	-126,660980
9345,410156	-126,215569
9388,476562	-125,831337
9431,542969	-126,501488
9474,609375	-125,766151
9517,675781	-125,559387
9560,742188	-126,234322
9603,808594	-125,999092
9646,875000	-126,217972
9689,941406	-126,787872
9733,007812	-125,849541
9776,074219	-126,199287
9819,140625	-127,096207
9862,207031	-125,685753
9905,273438	-125,922829
9948,339844	-126,382881
9991,406250	-125,704338
10034,472656	-125,979973
10077,539062	-126,206924
10120,605469	-125,861160
10163,671875	-126,859055
10206,738281	-126,779510
10249,804688	-126,243713
10292,871094	-126,701469
10335,937500	-126,766060
10379,003906	-126,599510
10422,070312	-126,984138
10465,136719	-125,999496
10508,203125	-125,417198
10551,269531	-126,554550
10594,335938	-126,393875
10637,402344	-125,924561
10680,468750	-126,514832
10723,535156	-126,124382
10766,601562	-126,005875
